,iv,treated,group_id_overall,outcome
398,1,1,255,0.317995
399,1,0,255,0.3125
400,1,1,255,0.252525
401,1,1,255,0.305627
402,1,0,255,0.372587
403,1,1,255,0.257769
404,1,1,255,0.306569
405,1,1,255,0.322124
406,1,1,80,0.480496
407,1,1,242,0.385
408,1,1,255,0.272727
409,1,1,255,0.297753
410,1,0,255,0.29982
411,1,0,255,0.180328
412,1,1,255,0.274336
413,1,1,255,0.172043
414,1,1,255,0.341379
415,0,0,255,0.213636
416,1,0,255,0.252266
417,1,0,255,0.358974
418,0,0,255,0.287981
419,1,1,255,0.383838
420,1,1,255,0.186047
421,1,1,255,0.347826
422,1,0,255,0.312258
423,1,0,255,0.338677
424,1,1,255,0.152174
425,1,1,255,0.237624
426,1,1,255,0.313433
427,1,1,256,0.21608
428,1,1,256,0.354167
429,1,1,256,0.271318
430,1,1,256,0.290909
431,0,0,256,0.227848
432,1,1,256,0.228916
433,1,0,256,0.373494
434,1,0,256,0.27451
435,1,0,256,0.320755
436,1,1,256,0.358543
437,1,1,256,0.335227
438,1,0,256,0.23601
439,1,1,256,0.311111
440,1,1,256,0.307692
441,1,1,256,0.1375
442,1,1,256,0.29097
443,1,1,256,0.28866
444,1,1,256,0.291667
445,1,1,256,0.255102
446,1,1,256,0.307692
447,1,1,256,0.227273
448,1,1,256,0.17734
449,1,1,256,0.274286
450,1,0,256,0.422222
451,0,0,256,0.519481
452,1,1,256,0.369748
453,1,1,256,0.347826
454,1,1,256,0.307692
455,1,1,256,0.329268
456,1,1,256,0.204918
457,0,0,256,0.295455
458,1,1,256,0.420382
459,1,1,256,0.294118
460,1,1,256,0.304762
461,0,0,256,0.427711
462,1,1,256,0.275862
463,0,0,256,0.272152
464,0,0,256,0.149425
465,0,0,256,0.247312
466,1,1,256,0.404348
467,1,1,257,0.260813
468,1,1,257,0.385987
469,1,1,257,0.253623
470,1,0,257,0.29794
471,1,1,257,0.395586
472,1,1,257,0.201493
473,1,0,257,0.436681
474,1,1,257,0.42153
475,0,0,257,0.267206
476,1,1,257,0.497436
477,1,1,257,0.26817
478,1,0,257,0.328982
479,1,0,257,0.260597
480,1,1,257,0.295652
481,1,0,257,0.351291
482,1,1,257,0.230769
483,1,1,257,0.25
484,1,1,257,0.255008
485,1,1,257,0.338517
486,1,1,257,0.376691
487,1,0,257,0.407258
488,1,0,257,0.269817
489,1,1,257,0.271854
490,1,1,257,0.304236
491,1,1,257,0.221402
492,1,0,257,0.283547
493,1,1,257,0.435294
494,1,1,257,0.675
495,1,1,257,0.4
496,1,1,257,0.365494
497,0,0,257,0.304022
498,1,1,257,0.296552
499,1,1,257,0.227273
500,1,1,257,0.30749
501,1,0,257,0.378313
502,1,1,257,0.234146
503,1,1,257,0.429984
504,1,1,257,0.36
505,1,0,257,0.325183
506,1,0,257,0.320968
507,1,1,257,0.27559
508,1,1,257,0.243562
509,1,0,257,0.362797
510,1,1,257,0.258929
511,1,1,257,0.283688
512,1,0,257,0.267292
513,0,0,257,0.282407
514,1,1,257,0.304113
515,1,1,257,0.380266
516,1,1,257,0.361921
517,1,1,257,0.314488
518,1,1,257,0.294521
519,1,1,257,0.571861
520,1,0,257,0.407473
521,1,1,257,0.292254
522,1,1,257,0.283324
523,1,1,257,0.377778
524,1,1,257,0.255814
525,1,0,257,0.409769
526,0,0,257,0.367682
527,1,1,257,0.324573
528,1,1,257,0.228947
529,1,0,257,0.126582
530,1,0,257,0.394347
531,1,1,257,0.29588
532,1,1,257,0.301587
533,1,1,257,0.396907
534,1,1,257,0.267223
535,1,1,257,0.29081
536,1,0,257,0.545455
537,1,1,257,0.306494
538,1,0,257,0.338346
539,1,1,257,0.366071
540,1,1,257,0.342254
541,1,1,257,0.417437
542,1,1,257,0.326702
543,1,0,257,0.204082
544,1,0,257,0.319444
545,1,1,257,0.298137
546,1,1,257,0.281013
547,1,0,257,0.373134
548,1,1,257,0.408163
549,0,0,257,0.178571
550,1,1,257,0.359485
551,1,0,257,0.391231
552,1,1,257,0.403471
